word	file	lines
bool	first-section-new-chapter.qmd	76
CCC	first-section-new-chapter.qmd	123
colab	first-section-new-chapter.qmd	333
DataFrame	first-section-new-chapter.qmd	123,175,322
DDD	first-section-new-chapter.qmd	123
df	first-section-new-chapter.qmd	123,128,135,137,143,145,175,177,183,241,244,298,304,316,322,328
EEE	first-section-new-chapter.qmd	123
hGylXk	first-section-new-chapter.qmd	147
hutchdatascience	first-section-new-chapter.qmd	3,5
idx	first-section-new-chapter.qmd	139
iloc	first-section-new-chapter.qmd	139
isinstance	first-section-new-chapter.qmd	319,322,328
iterable	first-section-new-chapter.qmd	59
julie	first-section-new-chapter.qmd	19
KiI	first-section-new-chapter.qmd	147
loc	first-section-new-chapter.qmd	139,183
nskVV	first-section-new-chapter.qmd	333
oEfpYOuc	first-section-new-chapter.qmd	147
OIQJDtDettOEr	first-section-new-chapter.qmd	333
osmO	first-section-new-chapter.qmd	147
prius	first-section-new-chapter.qmd	279,280
pydata	first-section-new-chapter.qmd	307
recoding	first-section-new-chapter.qmd	241
richardhester	first-section-new-chapter.qmd	20
si	first-section-new-chapter.qmd	147
str	first-section-new-chapter.qmd	75,260
suESej	first-section-new-chapter.qmd	147
un	first-section-new-chapter.qmd	5
usp	first-section-new-chapter.qmd	333
Vjopkv	first-section-new-chapter.qmd	147
williamsjoseph	first-section-new-chapter.qmd	21
XFDVjkN	first-section-new-chapter.qmd	333
